teljesítmény,achievement
színésznő,actress
adalékanyag,additive
alkohol,alcohol
hozzávetőlegesen,approximately
körülbelül,around
nyíl,arrow
mesterséges,artificial
művész,artist
űrhajós,astronaut
átlagos,average
milliárd,billion
életrajz,biography
véredény,blood vessel
karrier,career
sejt,cell
évszázad,century
bajnok,champion
komponálni,compose
zeneszerző,composer
tartalmaz,contain
gróf,count
nap,day
évtized,decade
nyomozó,detective
távolság,distance
Föld,Earth
kitartás,endurance
végül is,eventually
szakértő,expert
messze,far
nő,female
töredék,fraction
zseni,genius
aranyérem,gold medal
találgatás,guess
fele,half
nehéz,heavy
magasság,height
magas,high
óra,hour
száz,hundred
hihetetlen,incredible
intelligencia hányados,intelligence quotient
feltaláló,inventor
kilogramm,kilogramm
kilométer,kilometre
élettartam,lifetime
távolugrás,long jump
maraton,marathon
matematikus,mathematician
maximális,maximum
mérés,measure
méter,metre
évezred,millenium
millió,million
perc,minute
pillanat,moment
hónap,month
mozgás,movement
izom,muscle
zenész,musician
rejtély,mystery
Nobe díj,Nobe prize
nővér,nurse
szakács,chef
szerelő,mechanic
fényképész,photographer
pilóta,pilot
nővér,nurse
újságíró,journalist
építészmérnök,architect
állatorvos,vet
fizika,physics
játékos,player
költészet,poetry
nyomás,pressure
valószínűleg,probably
csoda,prodigy
egyetemi tanár,professor
programozó,programmer
közzé,publish
negyed,quarter
rádium,radium
rapper,rapper
nemrég,recently
számol,reckon
elismerés,recognition
rekord,record
relé,relay
megtakarítás,save
tudós,scientist
második,second
lő,shoot
látvány,sight
készség,skill
társadalom,society
helyesírás,spelling
tegyük fel,suppose
kóstol,taste
ízletes,tasty
ezer,thousand
tonna,ton
érintés,touch
fordítás,translation
használati útmutató,user guide
sétál,walk
mérlegelni,weigh
győztes,winner
téli,winter
év,year
