oszlopdiagram,bar chart
diagram,chart
adat,data
adatdiagram,data chart
információ,information
értelmezni,interpret
kördiagram,pie chart
bemutat,present
felmérés,survey
x tengely,x-axis
y-tengely,y-axis
alapvető,basic
mellkas,chest
kör,circle
lefelé,downwards
jellemzője,feature
lakás,flat
index,index
kézikönyv,manual
középső,middle
kifejezés,phrase
elsődleges,primary
alapelv,principle
alak,shape
jel,sign
át,across
mentén,along
ügy,case
lábnyom,footprint
vendéglő,inn
bűncselekmény,crime
borostyán,ivy
hiányzó,missing
mór,moor
gyilkosság,murder
furcsán,strangely
animáció,animation
kasszasiker,blockbuster
rajzfilm,cartoon
cel,cel
karakter,character
számítógép által generált képek (CGI),computer generated imagery (CGI)
lemez,disc
filmkészítő,film-maker
forma,form
kézzel rajzolt,hand-drawn
műanyag,plastic
folyamat,process
reális,realistic
speciális hatás,special effect
pálcikaember,stick figure
technika,technique
átlátszó,transparent
kiszámítani,calculate
egyenlet,equation
szabadstílus,freestyle
hosszúságú,lenght
sebesség,speed
idő,time
pálya,track
kapcsolatban lenni,be in contact with
jeladó,beacon
menekülés,escape
pontos,exact
pontosan,exactly
felfedező,explorer
elsősegély,first aid
szabadon,freely
óriás,giant
globális helymeghatározó rendszer (GPS),global positioning system (GPS)
internet kapcsolat,internet connection
elhelyezkedés,location
katonai projekt,military project
offline módban,offline
személyes lokátor,personal locator
vevő,reciver
biztonságosan,safely
műhold,satellite
katona,soldier
tér,space
bolt,store
levegő,air
fúj,blow
sárgaréz,brass
gordonka,cello
klarinét,clarinet
cintányér,cymbal
nagybőgő,double bass
fuvola,flute
magas hangú,high-pitched
intervallum,interval
kulcsfontosságú,key
laza,loose
alacsony,low
jel,mark
hangjegy,musical note
ütőhangszerek,percussion
szabályos,regular
hangmagasság,pitch
megismételt,repeated
húr,string
harsona,trombone
trombita,trumpet
rezeg,vibrate
fafúvós,woodwind
xilofon,xylophone
adrenalint,adreanaline
vér,blood
agy,brain
lélegző,breathing
hűvös,cool
kiáltás,cry
veszély,danger
félelem,fear
harc,fight
szív,heart
hormon,hormone
pánik,panic
tanítvány,pupil
reakció,reaction
érzés,sensation
izzad,sweat
