galéria,art gallery
buszmegálló,bus stop
parkoló,car park
irány,direction
zebra,pedestrian crossing
rendőrség,police station
posta,post office
görkorcsolya pálya,skate park
ár,price
kávéfőző,coffee machine
házasodni,marry
okos,smart
kosár,basket
ruháskosár szennyes ruhának,clothes basket
bújós játék,cuddly toy
párna,pillow
szőnyeg,rug
lepedő,sheet
akkumulátortöltő,battery charger
panasz,complaint
e-könyv,e-book
utolsó,last
menedzser,manager
modell,model
rádió,radio
okostelefon,smartphone
rettenetesen,terribly
zaklatás,bullying
csalás,cheating
cyber,cyber
vizsga nyomás,exam pressure
javítani,improve
motiváló,motivating
jelentés,report
súlyos,serious
méret,size
baj,trouble
vissza,back
zenei,musical
sor,row
aszpirin,aspirin
kötszer,bandage
tiszta,clean
Segítség,help
jég,ice
mikrohullámú,microwave
