A1 / 1 / 1,alle ( / ),mind
A1 / 1 / 1,Deutsch (das  / ),német
A1 / 1 / 1,fit ( / ),fitt
A1 / 1 / 1,klingen ( / ),hangzik
A1 / 1 / 1,lernen ( / ),tanul
A1 / 1 / 1,machen ( / ),csinál
A1 / 1 / 1,mit ( / ),-val;-vel
A1 / 1 / 1,mitkommen / kommt mit ( / ),jön vele
A1 / 1 / 1,Profi (der  / -s),profi
A1 / 1 / 1,Rap (der  / -s),rap
A1 / 1 / 1,schlau ( / ),ravasz
A1 / 1 / 1,so ( / ),így
A1 / 1 / 1,und ( / ),és
A1 / 1 / 2,kurz ( / ),rövid
A1 / 1 / 2,lang ( / ),hosszú
A1 / 1 / 2,Name (der  / -n),név
A1 / 1 / 2,Vokal (der  / -e),hang
A1 / 1 / 3,Junge (der  / -n),fiú
A1 / 1 / 3,Mädchen (das  / ),lány
A1 / 1 / 4,Silbe (die  / -n),szótag
A1 / 1 / 5,Spiel (das  / -e),játék
A1 / 1 / 7,Affe (der  / -n),majom
A1 / 1 / 7,Delfin (der  / -e),delfin
A1 / 1 / 7,Elefant (der  / -en),elefánt
A1 / 1 / 7,Giraffe (die  / -n),zsiráf
A1 / 1 / 7,international ( / ),nemzetközi
A1 / 1 / 7,Jaguar (der  / -e),jaguár
A1 / 1 / 7,Kamel (das  / -e),teve
A1 / 1 / 7,Känguru (das  / -s),kenguru
A1 / 1 / 7,Krokodil (das  / -e),krokodil
A1 / 1 / 7,Löwe (der  / -n),oroszlán
A1 / 1 / 7,Papagei (der  / -en),papagáj
A1 / 1 / 7,Strauß (der  / -e (Tier)),strucc
A1 / 1 / 7,Tier (das  / -e),állat
A1 / 1 / 7,Tiger (der  / ),tigris
A1 / 1 / 7,Wolf (der  / Wölfe),farkas
A1 / 1 / 7,Zebra (das  / -s),zebra
A1 / 1 / 8,Maus (die  / Mäuse),egér
A1 / 1 / 8,Maus (die  / Mäuse),egér
A1 / 1 / 8,Möwe (die  / -n),sirály
A1 / 1 / 8,Ziege (die  / -n),kecske
A1 / 1 / 9,Rätsel (das  / ),rejtvény
