szaxofon,saxophone
trombita,trumpet
hárfa,harp
fuvola,flute
gordonka,cello
ambíció,ambition
ambiciózus,ambitious
rendezés,arragement
zenekar,band
basszus,bass
üt,beat
hibáztatni,blame
fényes,bright
megtört szív,broken heart
fülbemászó,catchy
báj,charm
bájos,charming
klasszikus,classical
valóra váljon,come true
koncert,concert
bizalom,confidence
magabiztos,confident
DJ,DJ
letöltés,download
álom,dream
dobos,drummer
dobok,drums
elektronikus,electronic
energikus,energetic
energia,energy
hírnév,fame
híres,famous
rajongók,fans
farmer,farmer jeans
végső,final
végső,final
népi,folk
bolond,fool
fúzió,fusion
gitár,guitar
kemény szikla,hard rock
nehézfém,heavy metal
hip-hop,hip-hop
találat,hit
őrület,insanity
bíró,judge
billentyűzet,keyboard
fajta,kind
kedvesség,kindness
dalszöveg,lyrics
mini,mini
keverék,mixture
zenei üzlet,music business
zenei videó,music video
nyilvánvalóan,obviously
zongora,piano
darab,piece
pattogatott kukorica,popcorn
punk rock,punk rock
rap,rap
valóság,reality
lázadó,rebel
reggae,reggae
felülvizsgálja,revise
ritmus,rhythm
szikla,rock
rumba,rumba
salsa,salsa
szamba,samba
falatozás,snack
puha,soft
dal,song
sporttorna,sports tournament
ereje,strenght
erős,strong
stílus,style
siker,success
sikeres,successful
tehetség,talent
tehetséges,talented
techno,techno
hagyományos,traditional
transz,trance
TV műsorvezető,TV presenter
változat,version
kilátás,view
hegedű,violin
énekhang,vocals
hang,voice
keringő,walz
gyenge,weak
gyengeség,weakness
