állat,animal
művészet,art
Ausztrália,Australia
rossz,bad
táska,bag
között,between
nagy,big
tábla,board
unalmas,boring
Brazília,Brazil
fényképezőgép,camera
főváros,capital
szék,chair
online csevegés,chatting online
olcsó,cheap
Kína,China
óra,clock
kabát,coat
számítógép,computer
főzni,cooking
unokatestvér,cousin
borító,cover
valuta,currency
kerékpározik,cycling
íróasztal,desk
szótár,dictionary
fiók,drawer
Egyiptom,Egypt
e-mail,email
különösen,especially
drága,expensive
gyors,fast
kedvenc,favourite
film,film
zászló,flag
jó,good
hobbi,hobby
szörnyű,horrible
személyi igazolvány,ID card
-ban -ben,in
India,India
érdeklődik,interested
érdekes,interesting
Olaszország,Italy
Japán,Japan
laptop,laptop
barátokkal való találkozás,meeting friends
üzenet,message
Mexikó,Mexico
mobiltelefon,mobile phone
zene,music
állampolgárság,nationality
közel,near
új,new
mellett,next to
szép,nice
jegyzetfüzet,notebook
régi,old
azon,on
ellenkező,opposite
papagáj,parrot
toll,pen
emberek,people
kisállat,pet
fotózás,photography
zseb,pocket
népszerű,popular
poszter,poster
ajándék,present
eléggé,quite
olvas,reading
nagyon,really
polc,shelf
vásárolni,shopping
gördeszkázni,skateboarding
lassú,slow
kicsi,small
Spanyolország,Spain
hangszóró,speaker
sport,sport
sportsztár,sports star
biztos,sure
asztal,table
Egyesült Királyság,UK
USA,USA
Törökország,Turkey
alatt,under
népszerűtlen,unpopular
videojáték,video games
tévénézés,watching TV
