<img src=""><br>állat,<img src=""><br>animal
<img src=""><br>művészet,<img src=""><br>art
<img src=""><br>Ausztrália,<img src=""><br>Australia
<img src=""><br>rossz,<img src=""><br>bad
<img src=""><br>táska,<img src=""><br>bag
<img src=""><br>között,<img src=""><br>between
<img src=""><br>nagy,<img src=""><br>big
<img src=""><br>tábla,<img src=""><br>board
<img src=""><br>unalmas,<img src=""><br>boring
<img src=""><br>Brazília,<img src=""><br>Brazil
<img src=""><br>fényképezőgép,<img src=""><br>camera
<img src=""><br>főváros,<img src=""><br>capital
<img src=""><br>szék,<img src=""><br>chair
<img src=""><br>online csevegés,<img src=""><br>chatting online
<img src=""><br>olcsó,<img src=""><br>cheap
<img src=""><br>Kína,<img src=""><br>China
<img src=""><br>óra,<img src=""><br>clock
<img src=""><br>kabát,<img src=""><br>coat
<img src=""><br>számítógép,<img src=""><br>computer
<img src=""><br>főzni,<img src=""><br>cooking
<img src=""><br>unokatestvér,<img src=""><br>cousin
<img src=""><br>borító,<img src=""><br>cover
<img src=""><br>valuta,<img src=""><br>currency
<img src=""><br>kerékpározik,<img src=""><br>cycling
<img src=""><br>íróasztal,<img src=""><br>desk
<img src=""><br>szótár,<img src=""><br>dictionary
<img src=""><br>fiók,<img src=""><br>drawer
<img src=""><br>Egyiptom,<img src=""><br>Egypt
<img src=""><br>e-mail,<img src=""><br>email
<img src=""><br>különösen,<img src=""><br>especially
<img src=""><br>drága,<img src=""><br>expensive
<img src=""><br>gyors,<img src=""><br>fast
<img src=""><br>kedvenc,<img src=""><br>favourite
<img src=""><br>film,<img src=""><br>film
<img src=""><br>zászló,<img src=""><br>flag
<img src=""><br>jó,<img src=""><br>good
<img src=""><br>hobbi,<img src=""><br>hobby
<img src=""><br>szörnyű,<img src=""><br>horrible
<img src=""><br>személyi igazolvány,<img src=""><br>ID card
<img src=""><br>-ban -ben,<img src=""><br>in
<img src=""><br>India,<img src=""><br>India
<img src=""><br>érdeklődik,<img src=""><br>interested
<img src=""><br>érdekes,<img src=""><br>interesting
<img src=""><br>Olaszország,<img src=""><br>Italy
<img src=""><br>Japán,<img src=""><br>Japan
<img src=""><br>laptop,<img src=""><br>laptop
<img src=""><br>barátokkal való találkozás,<img src=""><br>meeting friends
<img src=""><br>üzenet,<img src=""><br>message
<img src=""><br>Mexikó,<img src=""><br>Mexico
<img src=""><br>mobiltelefon,<img src=""><br>mobile phone
<img src=""><br>zene,<img src=""><br>music
<img src=""><br>állampolgárság,<img src=""><br>nationality
<img src=""><br>közel,<img src=""><br>near
<img src=""><br>új,<img src=""><br>new
<img src=""><br>mellett,<img src=""><br>next to
<img src=""><br>szép,<img src=""><br>nice
<img src=""><br>jegyzetfüzet,<img src=""><br>notebook
<img src=""><br>régi,<img src=""><br>old
<img src=""><br>azon,<img src=""><br>on
<img src=""><br>ellenkező,<img src=""><br>opposite
<img src=""><br>papagáj,<img src=""><br>parrot
<img src=""><br>toll,<img src=""><br>pen
<img src=""><br>emberek,<img src=""><br>people
<img src=""><br>kisállat,<img src=""><br>pet
<img src=""><br>fotózás,<img src=""><br>photography
<img src=""><br>zseb,<img src=""><br>pocket
<img src=""><br>népszerű,<img src=""><br>popular
<img src=""><br>poszter,<img src=""><br>poster
<img src=""><br>ajándék,<img src=""><br>present
<img src=""><br>eléggé,<img src=""><br>quite
<img src=""><br>olvas,<img src=""><br>reading
<img src=""><br>nagyon,<img src=""><br>really
<img src=""><br>polc,<img src=""><br>shelf
<img src=""><br>vásárolni,<img src=""><br>shopping
<img src=""><br>gördeszkázni,<img src=""><br>skateboarding
<img src=""><br>lassú,<img src=""><br>slow
<img src=""><br>kicsi,<img src=""><br>small
<img src=""><br>Spanyolország,<img src=""><br>Spain
<img src=""><br>hangszóró,<img src=""><br>speaker
<img src=""><br>sport,<img src=""><br>sport
<img src=""><br>sportsztár,<img src=""><br>sports star
<img src=""><br>biztos,<img src=""><br>sure
<img src=""><br>asztal,<img src=""><br>table
<img src=""><br>Egyesült Királyság,<img src=""><br>UK
<img src=""><br>USA,<img src=""><br>USA
<img src=""><br>Törökország,<img src=""><br>Turkey
<img src=""><br>alatt,<img src=""><br>under
<img src=""><br>népszerűtlen,<img src=""><br>unpopular
<img src=""><br>videojáték,<img src=""><br>video games
<img src=""><br>tévénézés,<img src=""><br>watching TV
<img src=""><br>3D mozi,<img src=""><br>3D cinema
<img src=""><br>3D film,<img src=""><br>3D film
<img src=""><br>strand,<img src=""><br>beach
<img src=""><br>kerékpár,<img src=""><br>bike
<img src=""><br>híd,<img src=""><br>bridge
<img src=""><br>épület,<img src=""><br>building
<img src=""><br>buszpályaudvar,<img src=""><br>bus station
<img src=""><br>üzlet,<img src=""><br>business
<img src=""><br>kabin,<img src=""><br>cabin
<img src=""><br>kávézó,<img src=""><br>cafe
<img src=""><br>vár,<img src=""><br>castle
<img src=""><br>szakácsnő,<img src=""><br>chef
<img src=""><br>kínai negyed,<img src=""><br>Chinatown
<img src=""><br>mozi,<img src=""><br>cinema
<img src=""><br>tiszta,<img src=""><br>clean
<img src=""><br>mászófal,<img src=""><br>climbing wall
<img src=""><br>kényelmes,<img src=""><br>comfortable
<img src=""><br>hajóút,<img src=""><br>criuse ship
<img src=""><br>veszélyes,<img src=""><br>dangerous
<img src=""><br>piszkos,<img src=""><br>dirty
<img src=""><br>negyed,<img src=""><br>district
<img src=""><br>izgalmas,<img src=""><br>eciting
<img src=""><br>híres,<img src=""><br>famous
<img src=""><br>fantasztikus,<img src=""><br>fantastic
<img src=""><br>távol,<img src=""><br>far
<img src=""><br>lakás,<img src=""><br>flat
<img src=""><br>barátságos,<img src=""><br>friendly
<img src=""><br>segítség,<img src=""><br>help
<img src=""><br>forró,<img src=""><br>hot
<img src=""><br>szálloda,<img src=""><br>hotel
<img src=""><br>könyvtár,<img src=""><br>library
<img src=""><br>piac,<img src=""><br>market
<img src=""><br>modern,<img src=""><br>modern
<img src=""><br>műemlék,<img src=""><br>monument
<img src=""><br>zajos,<img src=""><br>noisy
<img src=""><br>iroda,<img src=""><br>office
<img src=""><br>irodaépület,<img src=""><br>office bilding
<img src=""><br>régi rész,<img src=""><br>old part
<img src=""><br>park,<img src=""><br>park
<img src=""><br>rész,<img src=""><br>part
<img src=""><br>utas,<img src=""><br>passenger
<img src=""><br>repülőgép,<img src=""><br>plane
<img src=""><br>üzem,<img src=""><br>plant
<img src=""><br>lakosság,<img src=""><br>population
<img src=""><br>szép,<img src=""><br>pretty
<img src=""><br>csendes,<img src=""><br>quiet
<img src=""><br>étterem,<img src=""><br>restaurant
<img src=""><br>biztonságos,<img src=""><br>safe
<img src=""><br>iskola,<img src=""><br>school
<img src=""><br>bolt,<img src=""><br>shop
<img src=""><br>bevásárlóközpont,<img src=""><br>shopping centre
<img src=""><br>gördeszkapark,<img src=""><br>skateboart park
