hozzáadás,add
szintén,also
mindig,always
pékség,bakery
grillezés,barbecue
testvér,brother
fogmosás,brush my teeth
karnevál,carnival
ünneplés,celebrate
ünneplés,celebration
híresség,celebrity
online csevegés,chat online
csevegés barátokkal,chat with friends
koncert,concert
főzőtanfolyam,cooking class
kulturális kvíz,culture quiz
napi rutin,daily routine
tánc,dance
táncverseny,dance competition
lánya,daughter
leckét csinálok,do my homework
korán,early
óriási,enormus
arcfestés,face painting
tűzijáték,fireworks
általános,general
hazaérni,get home
felkelni,get up
ajándékozni,give presents
menni a családoddal vagy a barátaiddal,go out with your family or friends
lefeküdni,go to bed
iskolába menni,go to school
unoka,granddaughter
különleges családi étkezés,have a special family meal
szünetet tartani,have a break
reggelizni,have breakfast
órákat venni,have classes
vacsorázni,have dinner
ebédelni,have lunch
segíteni,help
segíteni a házimunkában,help with the housework
nemzetközi,international
meghívni embereket a házadba,invite people to your house
oroszlán,lion
mini,mini
minibusz,minibus
soha,never
normális esetben,normally
gyakran,often
szervezett,organized
felvonulás,parade
szülő,parent
zenélni,play music
videojátékozni,play video games
műsor,programme
váltó,relay
énekelni,sing songs
nővér,sister
alvás,sleep
kanapé,sofa
néha,sometimes
fia,son
hang,sound
különleges,special
tanulni,study
nyár,summer
általában,usually
embereket meglátogatni,visit people
arcot mosni,wash my face
mosogatni,wash the dishes
videót nézni,watch videos or TV
őrült ruhákat vagy jelmezeket viselni,wear crazy clothes or costumes
weboldal,website
