mind,alle
német,das Deutsch
fitt,fit
hangzik,klingen
tanul,lernen
csinál,machen
-val;-vel,mit
jön vele,mitkommen / kommt mit
profi,der Profi
rap,der Rap
ravasz,schlau
így,so
és,und
rövid,kurz
hosszú,lang
név,der Name
hang,der Vokal
fiú,der Junge
lány,das Mädchen
szótag,die Silbe
játék,das Spiel
majom,der Affe
delfin,der Delfin
elefánt,der Elefant
zsiráf,die Giraffe
nemzetközi,international
jaguár,der Jaguar
teve,das Kamel
kenguru,das Känguru
krokodil,das Krokodil
oroszlán,der Löwe
papagáj,der Papagei
strucc,der Strauß
állat,das Tier
tigris,der Tiger
farkas,der Wolf
zebra,das Zebra
egér,die Maus
egér,die Maus
sirály,die Möwe
kecske,die Ziege
rejtvény,das Rätsel
ábécé,das ABC
vagy,bist / sein
egész,r ganze
dal,das Lied
umlaut,der Umlaut
betűz,buchstabieren
igen,ja
nem,nein
autó,das Auto
kosárlabda,der Basketball
képregény,der Comic
fotó,das Foto
poszter,das Poster
csokoládé,die Schokolade
medve,der Bär
kaméleon,der Chamäleon
hal,der Fisch
kutya,der Hund
kandúr,der Kater
orrszarvú,das Nashorn
ökör,der Ochse
forrás,die Qualle
fóka,die Robbe
bagoly,der Uhu
madár,der Vogel
jak,der Yak
vagyok,bin → sein
Jó napot! (svájci),Grüezi!
Jó napot!,Guten Tag!
Heló!,Hallo!
én,ich
van,sein
Szervusz!,Servus!
Tessék?,Wie bitte?
Viszontlátásra!,Auf Wiedersehen!
asszony,Frau...
úr,Herr
Szia!,Tschüss!
Jó éjszakát!,Gute Nacht!
Jó estét!,Guten Abend!
Jó reggelt!,Guten Morgen!
te,du
hívják,heißen
ki,wer
hogy,wie
is,auch
Köszönöm!,Danke!
megvagyok,es geht
jó,gut
rossz,schlecht
nagyon,sehr
Hogy vagy?,Wie geht's?
prima,prima
szívesen,gern
fest,malen
fut,rennen
ir,schreiben
úszik,schwimmen
énekel,singen
játszik,spielen
sport,der Sport
mi / mit,was
