cselekedni,act
kaland,adventure
hirdetés,advertisement
alkalmazás,application
kerülje el az összes növényt,avoid all plants
tűzoltóautó,fire engine
tűzoltó,fireman
rendőrautó,police car
rendőr,policeman
mentőautó,ambulance
felcser,paramedic
helikopter,helicopter
mentőcsónak,lifeboat
díj,award
akkumulátor,battery
csomagtartó,boot
hatalmaskodó,bossy
ág,branch
menedéket építeni,build a shelter
kihívás,challenge
díj,charge
ellenőrzés,check
felmászni egy fára,climb a tree
vigasztalja,comforts
iránytű,compass
versenyképes,competitive
érintkezés,contact
versenyző,contestant
másolat,copy
folyosó,corridor
sötét,dark
nappal,daytime
kétség,doubt
keleti,east
étkezési szokás,eating habit
környezet,enviroment
este,evening
tapasztalat,experience
tapasztalt,eperienced
arc,face
ivóvizet találni,find drinking water
elsősegély-készlet,first-aid kit
fitnesz,fitness
zászló,flag
kövesse a folyót,follow the river
kiszállni,get out of
útmutató,guide
sisak,helmet
remény,hope
helytelen,incorrect
rovar,insect
oktatás,instruction
medúza,jellyfish
ékszerek,jewellery
csatlakozik,join
dzsungel,jungle
tartsa hidegen,keep cool
kés,knife
vezető,leader
tüzet gyújtani,light a fire
öngyújtó,lighter
határ,limit
elveszett,lost
szerencse,luck
zajt csapni,make a noise
térkép,map
orvosi igazolás,medical certificate
memorizálni,memorize
éjfél,midnight
tükör,mirror
mountain bike,mountain bike
mozogni éjszaka,move at night
gomba,mushroom
igény,need
északi,north
pánik,panic
résztvevő,participant
figyel,pay attention
fizikai,physical
gyümölcsöt szedni,pick fruit
pozíció,position
pozitív,positive
gyakorlati,practical
prioritás,priority
esővíz,rainwater
értékelés,rating
fenntartott,reserved
kockázat,risk
kötél,rope
menekülni,run away
biztonsági mellény,safety vest
vitorla,sail
szandál,sandal
iskolai beszámoló,school report
biztonságos,secure
kiáltás,shout
jel,signal
hálózsák,sleeping bag
szóló,solo
állj egy helyben,stand still
maradj ott ahol vagy,stay where you are
tanulási idő,study time
hülye,stupid
napos,sunny
fényvédő krém,sunscreen
túlélés,survival
felszállni,take off
sátor,tent
teszt,test
fáklya,torch
vándorlás,trek
egyenruha,uniform
használja a Napot,use the Sun
meleg,warm
vizes palack,water bottle
nyugat,west
