hozzáad,add
félni,afraid
dühös,angry
elkötelezte magát,be engaged
elfoglalt,be busy
hívja vissza,call back
kártya,card
kommunikáció,communication
összehasonlítva,compared
folytassa,continue
hitel,credit
kultúra,culture
arra szentelt,dedicated to
részlet,detail
tárcsázzon egy számot,dial a number
csengőhang letöltése,download a ringtone
email,email
emoji,emoji
hangulatjel,emoticon
négyszemközti beszélgetés,face-to-face conversation
tényfájl,fact file
érzés,feeling
tegye le a telefont,hang up
alig,hardly
figyelmen kívül hagyni,ignore
kártyázik,play cards
takaros,tidy
zenekarban játszani,play in a band
menjen kirándulni,go hiking
gyakorolni,do excercise
fényképeket készíteni,take photos
fontos,important
azonnali üzenetküldés,instant messeging
nemzetközi,international
interjú,interview
bevezetés,introduction
vezetékes,landline
hagyjon hangüzenetet,leave a voicemail
levél,letter
vonal,line
készítsd el,make it
talán,maybe
mobiltelefon,mobile phone
hír,news
terv,plan
pont,point
úgy tenni mintha,pretend
nyilvános hely,public place
tegyen kihangosítót,put a speakerphone
recepció,reception
jelentés,report
válasz,response
gyűrű,ring
küldjön egy szöveges üzenetet,send a text message
megmutat,show
jel,sign
buta,silly
bőr,skin
közösségi média,social media
hang,sound
szólaljon meg,speak up
különleges,special
Persze,sure
meglepődött,surprised
okostelefon,smartphone
webkamera,webcam
fejhallgató,headphones
számítógépes egér,mouse
laptop,laptop
billentyűzet,keyboard
szimbólum,symbol
szöveg,text
szöveges üzenet,text message
feltölteni,top up
valóban,truly
típus,type
hasznos,useful
videó karakter,video character
győzelem,win
