3D mozi,3D cinema
3D film,3D film
strand,beach
kerékpár,bike
híd,bridge
épület,building
buszpályaudvar,bus station
üzlet,business
kabin,cabin
kávézó,cafe
vár,castle
szakácsnő,chef
kínai negyed,Chinatown
mozi,cinema
tiszta,clean
mászófal,climbing wall
kényelmes,comfortable
hajóút,criuse ship
veszélyes,dangerous
piszkos,dirty
negyed,district
izgalmas,eciting
híres,famous
fantasztikus,fantastic
távol,far
lakás,flat
barátságos,friendly
segítség,help
forró,hot
szálloda,hotel
könyvtár,library
piac,market
modern,modern
műemlék,monument
zajos,noisy
iroda,office
irodaépület,office bilding
régi rész,old part
park,park
rész,part
utas,passenger
repülőgép,plane
üzem,plant
lakosság,population
szép,pretty
csendes,quiet
étterem,restaurant
biztonságos,safe
iskola,school
bolt,shop
bevásárlóközpont,shopping centre
gördeszkapark,skateboart park
sportközpont,sports centre
sportcsapat,sports team
tér,square
utca,street
úszómedence,swimming pool
magas,tall
színház,theatre
turisztikai,tourist
turisztikai információs központ,tourist information centre
vasútállomás,train station
közlekedés,transport
fa,tree
csúnya,ugly
barátságtalan,unfriendly
üdvözöljük,welcome
állatkert,zoo
