körülbelül,about
fogadj örökbe,adopt
elképesztő,amazing
körül,around
cikk,article
visszafelé,backwards
denevér,bat
medve,bear
gyönyörű,beautiful
kihal,become extinct
között,between
pillangó,butterfly
teve,camel
karibu,caribou
macska,cat
mászófal,climbing wall
közeli,close-up
színes,colorful
gyakori,common
kommunikál,communicate
lény,creature
krokodil,crocodile
tánc salsa,dance salsa
veszély,danger
kutya,dog
ital,drink
unalmas,dull
sas,eagle
enni,eat
elefánt,elephant
magyarázat,explain
gazdálkodás,farming
filmsztár,film star
hal,fish
horgászat,fishing
légy,fly
például,for eample
béka,frog
zsiráf,giraffe
gorilla,gorilla
nő,grow
hall,hear
nehéz,heavy
hot dog,hot dog
vadászat,hounting
ugrás,jump
öl,kill
föld,land
szórólap,leaflet
láb,leg
tetszik,like
lista,list
él,live
sok,many
mozgás,move
hangszer,musical instrument
nemzeti park,national park
Északi-sark,North Pole
polip,octopus
strucc,ostrich
panda,panda
bolygó,planet
szennyezés,pollution
véd,protect
gyorsan,quickly
nyúl,rabbit
ritka,rare
patkány,rat
futás,run
skorpió,scorpion
lát,see
helyzet,situation
kígyó,snake
Déli-sark,South Pole
faj,species
pók,spider
erős,strong
ilyen mint,such as
túlélő,survive
úszó,swim
farok,tail
csapat,team
furcsa,weird
bálna,whale
vadvilág,wildlife
vadvédelmi program,wildlife programme
szárny,wing
farkas,wolf
világ,world
