béka,frog
malac,pig
tyúk,hen
kutya,dog
macska,cat
madár,bird
méh,bee
medve,bear
tehén,cow
pók,spider
dinnye,melon
szilva,plum
alma,apple
dió,nut
körte,pear
banán,banana
narancs,orange
kiwi,kiwi
szőlő,grapes
barack,peach
fej,head
haj,hair
orr,nose
fülek,ears
szemek,eyes
száj,mouth
kar,arm
láb,leg
ujj,finger
lábujj,toe
tojás,egg
pizza,pizza
hot dog,hot dog
spagetti,spaghetti
csirke,chicken
sajt,cheese
pite,pie
leves,soup
limonádé,lemonade
ásványvíz,mineral water
piros,red
kék,blue
zöld,green
barna,brown
sárga,yellow
narancssárga,orange
rózsaszín,pink
lila,purple
fehér,white
fekete,black


