sportoló,athlete
atlétika,athletics
kosárlabda,basketball
csata,battle
válni,become
rekordot megdönteni,break a record
zseniális,brilliant
bronz,bronze
karrier,career
váltás,change
bajnok,champion
mászás,climbing
teljes,complete
verseny,competition
versenyző,competitor
őrült,crazy
dollár,dollar
esemény,event
rajongó,fan
futball,football
gól,goal
arany,gold
golf,golf
torna,gymnastics
hoki,hockey
lovaglás,horse-riding
jégkorong,ice hockey
internet,internet
utazás,journey
junior,junior
utolsó,last
mérkőzés,match
érem,medal
érmes,medallist
hírvivő,messenger
pillanat,moment
hírek,news
olimpia,Olympics
játékos,player
verseny,race
rögbi,rugby
vitorlázás,sailing
eredmény,score
ezüst,silver
síelés,skiing
néző,spectator
költés,spend
sprint,sprint
stadion,stadium
kezdőjátékos,starter
furcsa,strange
úszás,swimming
asztalitenisz,tabletennis
tenisz,tennis
szöveg,text
utazás,travel
kirándulás,trip
röplabda,volleyball
háború,war
nézés,watch
győzelem,win
győztes,winner
birkózás,wrestling
