Egyiptom,Ägypten
Kina,China
élmény,das Erlebnis
Franciaország,Frankreich
barátság karkötő,das Freundschafts-bändchen
Gána,Ghana
Görögország,Griechenland
kemény,hart
fa,das Holz
Mexikó,Mexiko
kagyló,die Muschel
sapka,die Mütze
Peru,Peru
baba,die Puppe
Oroszország,Russland
éles,scharf
kulcstartó,der Schlüsselanhänger
szuvenír,das Souvenir
Spanyolország,Spanien
zsebkés,das Taschenmesser
csésze,die Tasse
dob,die Trommel
USA,die USA
puha,weich
látogatás,der Besuch
egy kicsit,ein bisschen
repülőtér,der Flughafen
bolt,der Laden
utolsó,letzte
hajóút,die Schifffahrt
városnézés,die Stadtrundfahrt
strand,der Strand
zsebpénz,das Taschengeld
tipikus,typisch
mindenhol,überall
szerszám,das Werkzeug
fészek,das Nest
aula,die Aula
angyal,der Engel
program,das Programm
projekt,das Projekt
piramis,die Pyramide
terem,der Raum
védőangyal,der Schutzengel
kõ,der Stein
műhely,die Werkstatt
etióp,äthiopisch
marad,bleiben
azután,danach
fog,fangen
gomba,der Pilz
étterem,das Restaurant
tó,der See
napos,sonnig
erdő,der Wald
kirándulás,die Wanderung
horgászik,angeln
tábortűz,das Lagerfeuer
ébren van,wach sein
recept,das Rezept
kinéz,aussehen
szőke,blond
sima,glatt
sportos,sportlich
barátságban van,befreundet sein
közben,dabei
egyforma,gleich
kézilabda,der Handball
érdeklődés,das Interesse
például,zum Beispiel
őszinte,ehrlich
szorgalmas,fleißig
okos,klug
nyugodt,ruhig
félénk,schüchtern
erős,stark
nem fontos,unwichtig
vicces,witzig
szétválaszt,Auseinanderbringen
kiértékelés,die Auswertung
egymás,einander
barátság,die Freundschaft
mindegyik,jede/r/s
senki,niemand
tökéletes,perfekt
beszél,reden
ennyi elég,Das reicht
különböző,unterschiedlich
eltölt,verbringen
előfordul,vorkommen
mert,weil
összetart,zusammenhalten
vitatkozik,streiten
vita,der Streit
hozzászólás,der Beitrag
igazi,echt
elköltözik,umziehen
hiányzik,vermissen
megbarátkozik,anfreunden sich
válasz,die Antwort
megismerkedik,kennenlernen
sikerül,klappen
vélemény,die Meinung
egymással,miteinander
történik,passieren
rossz,schlimm
tanév,das Schuljahr
helyzet,die Situation
szkájpol,skypen
még... is,sogar
elválaszthatatlan,unzertrennlich
vált,wechseln
megold,lösen
jegy,die Note
kaland,das Abenteuer
átél,erleben
nehéz,schwierig
csapat,das Team
vár,warten
összefoglaló,die Zusammenfassung
ügynökség,die Agentur
bejelent,anmelden
ellene van,dagegen sein
filmet forgat,Film drehen
tapasztalat,die Erfahrung
sikeres,erfolgreich
felismer,erkennen
történelem tanárnő,die Geschichtslehrerin
interjú,das Interview
kultúra,die Kultur
vetítővászon,die Leinwand
emberek,die Leute
normális,normal
büszke,stolz
cím,der Titel
álom,der Traum
álomfoglalkozás,der Traumberuf
elmulaszt,verpassen
el,weg
messze,weit
tulajdonképpen,eigentlich
megver,hauen
homokvár,die Sandburg
csiga,die Schnecke
breakdance,der Breakdance
gondol,denken
egykerekű,das Einrad
egyensúly,das Gleichgewicht
csoport,die Gruppe
elesik,hinfallen
gördeszka,das Skateboard
tehetség,das Talent
torony,der Turm
kinevet,auslachen
akkoriban,damals
tart,hält halten
nyereg,der Sattel
megcsinál,schaffen
ajándékoz,schenken
óta,seit
maga,selbst
trükk,der Trick
gyakorol,üben
kívánság,der Wunsch
mutat,zeigen
először,zum ersten Mal
indulás,die Abfahrt
hiba,der Fehler
sajtfondü,das Käsefondue
javít,korrigieren
sípálya,die Piste
utazás,die Reise
érem,die Medaille
oklevél,die Urkunde
mint,als
ugyanolyan,genauso
testvérek,die Geschwister
kéz,die Hand
helyes,stimmen
mint,wie
iker,der Zwilling
láb,der Fuß
másmilyen,anders
egyetért,einverstanden sein
reakció,die Reaktion
igaza van,recht haben
badarság,der Unsinn
lajhár,das Faultier
gepárd,der Gepard
koala,der Koala
kolibri,der Kolibri
kakukk,der Kuckuck
polip,der Oktopus
panda,der Panda
rekord,der Rekord
Antarktisz,die Antarktis
föld,die Erde
ég,der Himmel
magas,hoch
világít,leuchten
óceán,der Ozean
ferde,schief
csillag,der Stern
visszatart,anhalten
fúj,blasen
levegő,die Luft
Kinek a ...?,Wessen?
cédula,der Zettel
nyelvtörö,der Zungenbrecher
album,das Album
felad,aufgeben
mindkét,beide
színpad,die Bühne
CD,die CD
unokatestvér,der Cousin
karrier,die Karriere
lámpaláz,das Lampenfieber
mikrofon,das Mikrofon
közönség,das Publikum
rappel,rappen
rapper,der Rapper
zeneszám,der Song
weboldal,die Webseite
újságcikk,der Zeitungsartikel
valamilyen érzés,sich anfühlen sich
ujj,der Finger
tapsol,klatschen
kopog,klopfen
testrész,der Körperteil
már nem,nicht mehr
csettint,schnipsen
váll,die Schulter
dobbant,stampfen
csodás,wundervoll
vállat von,zucken
kacsint,zwinkern
kar,der Arm
mell,die Brust
nyak,der Hals
száj,der Mund
túl,zu
fájdalom,der Schmerz
Egészségedre!,Gesundheit!
test,der Körper
fáj,wehtun
orvos,der Arzt
belélegez,einatmen
energia,die Energie
meg van fázva,erkältet sein
megfázás,die Erkältung
láz,das Fieber
folyadék,die Flüssigkeit
érzi magát,fühlen sich
elég,genug
fok,das Grad
Jobbulást!,Gute Besserung!
forró,heiß
köhögés,der Husten
köhög,husten
inhalál,inhalieren
orvosság,die Medizin
mér,messen
nyugalom,die Ruhe
alvás,der Schlaf
lagymatag,schlapp
nátha,der Schnupfen
izzad,schwitzen
hőmérséklet,die Temperatur
hőmérő,das Thermometer
csepp,der Tropfen
elveszít,verlieren
vízgőz,der Wasserdampf
injekció,die Spritze
fog,der Zahn
hiányzik neki,fehlen sich
vidám,froh
kedv,die Laune
dühös,wütend
találkozik valakivel,treffen
nyer,gewinnen
ha,wenn
napraforgó,die Sonnenblume
eltörik,brechen
ellen,gegen
kórház,das Krankenhaus
kenőcs,die Salbe
tabletta,die Tablette
felír,verschreiben
mozgat,bewegen
rendszeresen,regelmäßig
kötés,der Verband
megsért,verletzen
szabad,darf dürfen
először,erst
baleset,der Unfall
gyalogos,der Fußgänger
görkorcsolyázik,inlineskaten
görkorcsolya,die Inlineskates
tanfolyam,der Kurs
nélkül,ohne
védőfelszerelés,die Schutzausrüstung
véd,schützen
biztosan,sicher
esés,die Sturz
sérülés,die Verletzung
kíséret,die Begleitung
gyakorlat,die Übung
kedvelt,beliebt
társasjáték,das Brettspiel
korábban,früher
jojó,das Jo-Jo
modellvasút,die Modelleisenbahn
játékkonzol,die Spielkonsole
ugrókötél,das Springseil
bűvöskocka,der Zauberwürfel
felhívás,der Aufruf
történet,die Geschichte
élet,das Leben
ár,der Preis
résztvevő,der Teilnehmer
kisorsol,verlosen
verseny,der Wettbewerb
szabadidő,die Freizeit
pincér,der Kellner
játék,das Spielzeug
sejtelem,die Ahnung
biztos,bestimmt
mesél,erzählen
televízió,der Fernseher
készülék,das Gerät
hűtőszekrény,der Kühlschrank
rádió,das Radio
telefon,das Telefon
meglepett,überrascht
mosógép,die Waschmaschine
hogy,dass
laptop,der Laptop
MP3-lejátszó,der MP3-Player
tablet,das Tablet
fárasztó,anstrengend
felmelegít,aufwärmen
fázik,frieren
tűzhely,der Herd
ruha,das Kleid
szomszéd,der Nachbar
rendes,ordentlich
szoknya,der Rock
tál,die Schüssel
szigorú,streng
WC,die Toilette
mosakodik,waschen sich
bepakol,packen
fogat mos,Zähne putzen
megfogja a munkát,anpacken
gyógyszertárosnő,die Apothekerin
munka,die Arbeit
ezért,deshalb
ostoba,doof
vödör,der Eimer
fagylaltozó,die Eisdiele
arat,ernten
cég,die Firma
folt,der Fleck
forma,die Form
előállít,herstellen
széna,das Heu
borjú,das Kalb
krumpli,die Kartoffel
piac,der Markt
sárgarépa,die Möhre
fuvola,die Querflöte
reáliskola,die Realschule
homlok,die Stirn
tornázik,turnen
elad,verkaufen
számol,zählen
Kinek?,Wem?
motorkerékpár,das Motorrad
istálló,der Stall
óváros,die Altstadt
hid,die Brücke
vár,die Burg
dóm,der Dom
folyó,der Fluss
osztálykirándulás,die Klassenfahrt
városháza,das Rathaus
kút,der Brunnen
felfedez,entdecken
vár,die Festung
utca,die Gasse
szülőház,das Geburtshaus
hegedű,die Geige
orgona,die Orgel
kastély,das Schloss
világűr,der Weltraum
megérkezik,ankommen
felpróbál,anprobieren
megnéz,anschauen
hirdetés,die Anzeige
kirándulás,der Ausflug
kipakol,auspacken
meglátogat,besichtigen
megcsodál,bestaunen
megcsodál,bewundern
kínál,bieten
utazás,die Fahrt
idegenvezetés,die Führung
grillezik,grillen
beleértve,inklusive
golyó,die Kugel
középkori,mittelalterlich
nedves,nass
opera,die Oper
praliné,die Praline
herceg,der Prinz
hercegnő,die Prinzessin
ralli,die Rallye
hüllő,das Reptil
irány,die Richtung
erdei iskola,das Schullandheim
városközpont,das Stadtzentrum
napló,das Tagebuch
asztalitenisz,das Tischtennis
útközben,unterwegs
virsli,das Würstchen
között,zwischen
tehát,also
-ig,bis zu
egyszerű,einfach
Bocsásson meg!,Entschuldigen Sie!
egyenesen,geradeaus
balra,links
jobbra,rechts
térkép,der Stadtplan
megért,verstehen
pad,die Bank
emlékmű,das Denkmal
mögött,hinter
mellett,neben
pilóta,der Pilot
