aktív,active
tanács,advice
utána,after that
alma,apple
bab,beans
blog,blog
tál,bowl
kenyér,bread
hamburger,hamburger
cent,cent
sajt,cheese
csirke,chicken
sültkrumpli,chips
aprítás,chop
főzés,cook
kanapé,couch
chips,crisps
desszert,dessert
étel,dish
dollár,dollar
ital,drink
tojás,egg
euró,euro
zsír,fat
végül,finally
első,first
fitt,fit
szénsavas ital,fizzy drink
hűtőszekrény,fridge
gyümölcs,fruit
szőlő,grapes
szokás,habit
egészség,health
egészséges,healthy
éhes,hungry
beteg,ill
hozzávaló,ingredient
lé,juice
bárány,lamb
lasagne,lasagne
utolsó,last
lusta,lazy
életmód,lifestyle
uzsonnásdoboz,lunchbox
főétel,main course
maraton,marathon
hús,meat
elme,mind
ásványvíz,mineral water
következő,next
diófélék,nuts
olíva,olive
opció,option
tészta,pasta
körte,pear
penny,pence
bors,pepper
font,pound
mazsola,raisin
rizs,rice
saláta,salad
szendvics,sandwich
tálalás,serve
nassolnivaló,snack
leves,soup
előétel,starter
szumó birkózó,sumo wrestler
édesség,sweets
ízlés,taste
ízletes,tasty
hőmérséklet,temperature
szomjas,thirsty
fáradt,tired
vonat,train
tonhal,tuna
tipikus,typical
nem fitt,unfit
egészségtelen,unhealthy
zöldség,vegetable
vegetáriánus,vegetarian
árusítóautomata,vending machine
vitamin,vitamin
víz,water
kút (mn.),well (adj)
jót (adv),well (adv)
aggódj,worry
joghurt,yoghurt
