baleset,accident
kalandsport,adventure sport
tériszony,agoraphobia
boka,ankle
rossz benne,bad at
hisz,believe
csont,bone
szünet,break
megtört szív,broken heart
zúzódás,bruise
véraláfutásos,bruised
éget,burn
égett,burned
kemping,camping
barlangászat,caving
kémiai,chemical
gyere le,come off
vágott,cut
száraz,dry
könyök,elbow
lelkes,entusiastic
izgatott,excited
izgalom,excitement
extrém sport,extreme sport
halálos,fatal
szeretetteljes,fond
megijedt,frightened of
jó benne,good at
föld,ground
örül,happy about
fejfájás,headache
fogfájás,tootache
orrfolyás,runny nose
gyomorfájás,stomach ache
torokfájás,sore throat
köhögés,cough
megfázik,have cold
láz,fever
fejhallgató,headset
magasságok,heights
horrorfilm,horror film
fáj,hurt
injekció,injection
megsebesíteni,injure
sérülés,injury
érdekelt,interested
lelkes,keen on
térd,knee
gyógyszer,medicine
ideges miatta,nervous about
művelet,operation
fájdalmas,painful
siklóernyőzés,paragliding
pszichológus,psychologist
mentőszolgálat,rescue service
nevetséges,ridiculous
kockázatos,risky
hullámvasút,roller coaster
megijedt,scared of
váll,shoulder
snowboardozás,snowboarding
megoldás,solution
rándulás,sprain
kificamodott,sprained
támogatás,support
terápia,therapy
izgalom,thrill
érintés,touch
kezelés,treatment
virtuális valóság,virtuel reality
aggódik,worried about
csukló,wrist
