arab,Arabic
kérdések feltevése,ask questions
bentlakásos iskola,boarding school
hajó,boat
üzleti tanulmányok,business studies
ellenőrzés,check
óra,class
képregény,comic
kötelező,complusory
koncentráció,concentrate
nehéz,difficult
angol,English
idegesít,annoy
vizsga,exam
csereprogram,exchange programme
zseniális,genius
földrajz,geography
nyelvtan,grammar
nagyszerű,great
történelem,history
házi feladat,homework
IKT (információs és kommunikációs technológia),ICT (Information and Communication Technology)
olasz,Italian
ismer,know
nyelv,language
tanulni,learn
hallgatni,listen to
hallgatni,listening
jegyzetet írni,make notes
mandarin,Mandarin
matek,maths
közepes méretű,medium-sized
pantomim,mime
szúnyog,mosquito
füzet,notebook
testnevelés,PE (Physical Education)
gyakorlati,practical
gyakorlat,practice
általános iskola,primary school
projekt,project
kiejtés,pronunciation
PSHE (Személyes szociális és egészségnevelés),PSHE (Personal Social and Health Education)
olvas,read
ismétlés,repeat
átismétlés,revise
orosz,Russian
középiskola,secondary school
természettudomány,science
spanyol,Spanish
beszéd,speaking
helyesírás,spell
szigorú,strict
tantárgy,subject
tanár,teacher
tankönyv,textbook
holnap,tomorrow
hagyományos,traditional
megértés,understand
egyenruha,uniform
szókincs,vocabulary
famegmunkálás,woodwork
szójegyzék,wordlist
írni,write
írás,writing
