frog,béka
pig,malac
hen,tyúk
dog,kutya
cat,macska
bird,madár
bee,méh
bear,medve
cow,tehén
spider,pók
melon,dinnye
plum,szilva
apple,alma
nut,dió
pear,körte
banana,banán
orange,narancs
kiwi,kiwi
grapes,szőlő
peach,barack
head,fej
hair,haj
nose,orr
eyes,szemek
ear,fül
mouth,száj
teeth,fogak
neck,nyak
shoulder,váll
back,hát
arm,kar
elbow,könyök
hand,kéz
finger,ujj
leg,láb
knee,térd
foot,lábfej
toe,lábujj
egg,tojás
pizza,pizza
hot dog,hot dog
spaghetti,spagetti
chicken,csirke
cheese,sajt
pie,pite
soup,leves
lemonade,limonádé
mineral water,ásványvíz
red,piros
blue,kék
green,zöld
brown,barna
yellow,sárga
orange,narancssárga
pink,rózsaszín
purple,lila
white,fehér
black,fekete
one,egy
two,kettő
three,három
four,négy
five,öt
six,hat
seven,hét
eight,nyolc
nine,kilenc
ten,tíz
eleven,tizenegy
twelve,tizenkettő
thirteen,tizenhárom
fourteen,tizennégy
fifteen,tizenöt
sixteen,tizenhat
seventeen,tizenhét
eighteen,tizennyolc
nineteen,tizenkilenc
twenty,húsz
watching a movie,filmet nézni
listening to music,zenét hallgatni
reading a magazine,magazint olvasni
free time,szabadidő
get bored,unatkozni
swimming,úszni
camping,kemping
comic book,képregény
volleyball,röplabda
flying kites,papírsárkányt reptetni
kites,papírsárkány
soccer,foci
riding a bike,biciklizni
bike,bicikli
reading,olvasni
playing,játszani
barbecue,sütögetés
jogging,kocogás
gardening,kertészkedés
walk,sétálni
board game,társasjáték
video game,videojáték
drawing,rajzolni
painting,festeni
knitting,kötni
yoga,jóga
hobby,hobbi
star gazing,csillagnézés
family,család
friends,barátok
peaceful,békés
flower,virág
chocolate egg,csokitojás
bunny,nyuszi
Sun,Nap
spring,tavasz
butterfly,pillangó
rain,eső
umbrella,esernyő
Easter,Húsét
garden,kert
skateboarding,gördeszkázni
ketchup,kecsap
wavy hair,hullámos haj
Monday,hétfő
Tuesday,kedd
Wednesday,szerda
Thursday,csütörtök
Friday,péntek
Saturday,szombat
Sunday,vasárnap
Summer,nyár
Autumn,ősz
Winter,tél
January,január
February,február
March,március
April,április
May,május
June,június
July,július
August,augusztus
September,szeptember
October,október
November,november
December,december
hot,meleg/forró
beach,part
holiday,szünidő
fun,móka
party,buli
sunglasses,napszemüveg
ice-cream,fagyi
swimsuit,úszódressz/fürdőruha
flip flop slippers,flip-flop papucs
no school,nincs iskola/iskolaszünet
