tanács,advice
megenged,allow
bosszant,annoy
az iskolában,at school
az üzletekben,at the shops
atlétika,athletics
süteményt sütni,bake cake
tilalom,ban
benne lenni,be into
biciklizés,bike ride
blog,blog
zavarta,bothered
dolgokat gyűjteni,collect things
sportolj,do sport
rajzolj egy képet,draw a picture
gyakorlat,excercise
megmagyarázni,explain
fórum,forum
szabadidő,free time
tánc,dancing
online,online
lovaglás,riding
bevásárlás,shopping
mozi,cinema
szokás,habit
hobbi,hobby
egy fastfoow étteremben,in a fastfoow restaurant
az ágyban,in bed
a szobámban,in my room
az autóban,in the car
vidéken,in the countryside
a játszótéren,in the playground
a városban,in town
fedett,indoors
hagyja,let
élet,life
zenét hallgatni,listen to music
szerencsés,lucky
mérges,mad about
fő-,main
videókat készíteni,make videos
barátokkal találkozni,meet friends
elme,mind
nan,nan
normál,normal
közel,near
normál,normal
a buszon,on the bus
a telefonon,on the phone
szabadban,outdoors
festék,paint
festeni egy képet,paint a picture
hangszeren játszani,play an instrument
profil,profile
kérdőív,questionnaire
jobbra,right
rutin,routine
szabály,rule
pontszám,score
képernyő,screen
tölt,spend
maradj későn az ágyban,stay in bed late
teljes,total
edző,trainer
séta,walk
tévét nézni,watch TV
weboldal,webpage
hétvége,weekend
történeteket írni,write stories
