színész,actor
színésznő,actress
aposztróf,apostrophe
látszólag,apparently
avatár,avatar
átlagos,average
kopasz,bald
szakáll,beard
fekete,black
szőke,blonde
épít,build
nagybetű,capital letter
gyűjt,collect
vessző,comma
göndör,curly
aranyos,cute
sötétbarna,dark brown
leírás,description
meghalni,die
pontos,exactl
felkiáltójel,exlamation mark
filmrendező,film director
pont,full stop
gyengéd,gentle
munkát vállalni,get a job
képzettséget szerezni,get a qualification
házasodni,get married
óriás,giant
szemüveg,glasses
iskolába járni,go to school
egyetemre járni,go to university
zöld,green
szürke,grey
felnőni,grow up
gyerekeket vállalni,have children
magasság,height
dőlt,italics
kulcspillanat,key moment
elhagyni az iskolát,leave school
világosbarna,light brown
logikus sorrend,logical order
hosszú,long
bajusz,moustache
kihagyni,omit
túlsúlyos,overweight
magánélet,personal life
kérdőjel,question mark
reagálni,react
piros,red
kerek,round
szomorú,sad
alacsony,short
bőr,skin
karcsú,slim
tüskés,spiky
szögletes,square
egyenes,straight
napszemüveg,sunglasses
szörfözés,surfing
vesz,take
vékony,thin
teherautó-sofőr,truck driver
korrepetitor,tutor
