vetélkedő,<img src="https://st2.depositphotos.com/2673929/8409/i/380/depositphotos_84094488-stock-photo-beautiful-young-woman-in-formal.jpg"></img><br>das  Quiz
fürdőszoba,<img src="https://st5.depositphotos.com/10614052/68738/i/450/depositphotos_687387526-stock-photo-interior-light-restroom-ceramic-toilet.jpg"></img><br>das  Bad
erkély,<img src="https://st.depositphotos.com/1605515/3831/i/450/depositphotos_38310245-stock-photo-beautiful-modern-terrace-with-a.jpg"></img><br>der  Balkon
-on;-en;-ön,<img src=""></img><br> auf
padszomszéd,<img src="https://st.depositphotos.com/1712366/2957/i/450/depositphotos_29579889-stock-photo-not-sharing-bench.jpg"></img><br>die  Banknachbarin
elkezdődik,<img src="https://st2.depositphotos.com/4431055/11854/i/450/depositphotos_118545924-stock-photo-growth-of-new-life.jpg"></img><br> anfangen / fängt an
felkel,<img src="https://st5.depositphotos.com/15896958/70529/i/450/depositphotos_705292204-stock-photo-alarm-clock-having-good-day.jpg"></img><br> aufstehen / steht auf
elfogyott,<img src=""></img><br> aus sein
-on;-en;-ön,<img src=""></img><br> an (wann?)
munkacsoport,<img src="https://st3.depositphotos.com/1075946/12659/i/450/depositphotos_126591198-stock-photo-workgroup-interacting-in-office.jpg"></img><br>die  AG
dolgozik,<img src="https://st2.depositphotos.com/1854227/6469/i/450/depositphotos_64691531-stock-photo-mix-of-office-supplies-and.jpg"></img><br> arbeiten
banán,<img src="https://st4.depositphotos.com/1642482/25141/i/450/depositphotos_251415692-stock-photo-bunch-of-bananas-isolated.jpg"></img><br>die  Banane
elhoz,<img src=""></img><br> abholen / holt ab
