ablak,das Fenster
ágy,das Bett
ajtó,die Tür
fal,die Wand
függöny,der Vorhang
lábtörlő,der Fußmatte
háztető,das Dach
kémény,der Schornstein
lépcső,die Treppe
emelet,das Stockwerk
pince,die Keller
tetőtér,der Dachboden
emeletes ágy,das Etagenbett
konyha,die Küche
fürdőszoba,das Badezimmer
nappali,das Wohnzimmer
hálószoba,das Schlafzimmer
előszoba,die Diele
kulcs,der Schlüssel
ajtózár,das Türschloss
szőnyeg,der Teppich
abrosz,das Tischtuch
szalvéta,die Serviette
kanál,der Löffel
kés,das Messer
villa,die Villa
tányér,der Teller
lábos,der Topf
serpenyő,die Pfanne
tepsi,die Teps
mosogatógép,der Geschirrspüler
szivacs,der Schwamm
merőkanál,der Schöpflöffel
fűszer,das Gewürz
étkező asztal,der Esstisch
falióra,die Wanduhr
konyhaszekrény,der Küchenschrank
hűtőszekrény,der Kühlschrank
szagelszívó,der Dunstabzug
robotgép,der Küchenroboter
sütő,der Ofen
fakanál,der Holzlöffel
ruhafogas,der Kleiderbügel
cipőtartó,der Brotkasten
esernyő,der Regenschirm
tükör,der Spiegel
lámpa,die Lampe
kulcstartó,der Schlüsselanhänger
mosdókagyló,das Waschbecken
wc,das WC
zuhanyzó,die Dusche
kád,die Badewanne
törülköző,das Handtuch
fogkefe,die Zahnbürste
fogkrém,die Zahnpasta
szappan,die Seife
sampon,das Shampoo
hajbalzsam,der Haarbalsam
fésű,der Kamm
hajszárító,der Haartrockner
szennyeskosár,der Wäschekorb
bidé,das Bidet
televízió,der Fernseher
rádió,das Radio
kanapé,die Couch
dohányzóasztal,der Couchtisch
falikép,das Wandbild
csillár,der Kronleuchter
bárszekrény,der Barwagen
szekrény,der Schrank
komód,die Kommode
párna,das Kissen
takaró,die Decke
lepedő,das Bettlaken
éjjeliszekrény,der Nachttisch
fiók,die Schublade
kert,der Garten
fűnyíró,der Rasenmäher
fa,der Baum
bokor,der Busch
madár,der Vogel
locsolókanna,die Gießkanne
slag,der Schlauch
járda,der Bürgersteig
kandalló,der Kamin
