délután,afternoon
művész,art
légkör,atmosphere
néni,aunt
baba,baby
hátizsák,backpack
biológia,biology
tömb,block
könyv,book
szünet,break
testvér,brother
kémia,chemistry
gyermek,child
osztály,class
osztálytárs,classmate
másolat,copy
unokatestvér,cousin
őrült,crazy
csinos,cute
apu,dad
lánya,daughter
határozottan,definitely
kettős,double
vizsga,examam
gyakorlat,excercise
mező,field
végül,finally
vicces,funny
bútor,forniture
földrajz,geography
unoka,granddaughter
nagyapa,grandfather
nagymama,grandmother
unokája,grandson
történelem,history
házi feladat,homework
férj,husband
laboratórium,laboratory
laptop,laptop
jel,mark
matematika,maths
reggel,morning
mama,mum
tiszta,neat
unokaöcs,nephew
unokahúg,niece
jegyzetfüzet,notebook
jegyzetek,notes
oxigén,oxygen
fényképezés,photography
poszter,poster
elnök,president
igazi,real
szoba,room
tudomány,science
nővér,sister
büdös,smelly
fiú,son
tartalék,spare
csillag,star
állami,state
szigorú,strict
diák,student
tanár,teacher
csapat,team
teszt,test
nyakkendő,tie
menetrend,timetable
kemény,tough
iker,twin
nagybácsi,uncle
üdvözöl,welcome
feleség,wife
aggodalom,worry
nulla,zero
