ősz,autumn
kempingezés,camping
táborhely,campsite
cipelés,carry
felhős,cloudy
hideg,cold
kontinens,continent
hűvös,cool
hajózás,cruise
kerékpáros,cyclist
ködös,foggy
vizes lesz,get wet
elmegy,go away
útmutató,guidebook
forró,hot
hatalmas,huge
jégkorong,ice hockey
jeges,icy
rovarspray,insect spray
villámlás,lightning
lottó,lottery
szerencsés,lucky
szabadtéri,outdoor
pingvin,penguin
zsebkéses bicska,penknife
kifejezésgyűjtemény,phrasebook
piknik,picnic
terv,plan
jegesmedve,polar bear
hozzászólás írása,post a comment
valószínűleg,probably
ígéret,promise
esős,rainy
hátizsák,rucksack
sampon,shampoo
hálózsák,sleeping bag
havas,snowy
szappan,soap
tavasz,spring
maradj,stay
viharos,stormy
bőrönd,suitcase
naptej,sun cream
napos,sunny
szörfözés,surfing
úszóruha,swimming costume
sátor,tent
mennydörgés,thunder
fogkefe,toothbrush
fogkrém,toothpaste
zseblámpa,torch
törölköző,towel
törzsek,trunks
mosdózsák,washbag
vizespalack,water bottle
vízálló ruhák,waterproofs
időjárás,weather
súlyzó,weigh
nedves,wet
szél,wind
szeles,windy
tél,winter
