elképesztő,amazing
szög,angle
háttér,background
rossz,bad
rosszul,badly
mögött,behind
alsó,bottom
bátran,bravely
buldózer,bulldozer
bozóttűz,bush fire
óvatos,careful
gondosan,carefully
híresség,celebrity
mássz fel,climb up
közeli,close
kényelmes,comfortable
kényelmesen,comfortably
alkotó,creative
kreatívan,creatively
könnyen,easily
könnyű,easy
rendkívülien,extremely
fogás,catch
nyomja,push
hullám,wave
Húzni,pull
dobás,throw
kúszik,crawl
leesik,fall off
gyors,fast
tűzijáték,firework
tűzoltó,firefighter
virág,flower
előtér,foreground
erdő,forest
kiszáll,get out
jó,good
lógni,hanging
boldogan,happily
boldog,happy
tart,hold
lyuk,hole
lenyűgözött,impressed
sziget,island
felugrik,jump up
rúgás,kick
kölyök,kid
koala,koala
balra,left
hazugság,lie
helyi,local
úgy néz ki,look like
emlék,memory
sár,mud
megfigyelés,observation
türelmes,patient
türelmesen,patiently
engedély,permission
felvenni,pick up
udvarias,polite
udvariasan,politely
póz,pose
megjósolni,predict
csendes,quiet
csendesen,quietly
verseny,race
megmentés,rescue
durva,rude
durván,rudely
szafari,safari
homok,sand
szelfi,selfie
ül,sit
lassú,slow
lassan,slowly
mosoly,smile
áll,stand
mókus,squirrel
részt vesz,take part
tipp,tip
teteje,top
teherautó,truck
szokatlan,unusual
önkéntes,volunteer
séta,walk
jól,well
vad,wild
ordítás,yell
