csodál,admire
élő,alive
hadsereg,army
csillagász,astronomer
szörnyű,awful
azték,Aztec
barbecue,barbecue
csata,battle
unalmas,boring
barát,boyfriend
bátor,brave
ragyogó,brilliant
épület,building
ünnepel,celebrate
gyűjtemény,collection
jön,come
halott,dead
dinoszaurusz,dinosaur
felfedezni,discover
kijelző,display
hatalmas,enormous
esemény,event
izgalmas,exciting
kiállít,exhibit
kiállítás,exhibition
fedezze fel,explore
érezni,feel
harc,fight
talál,find
tűzijáték,firework
repülő gép,flying machine
kap,get
szobor,statue
székesegyház,cathedral
palota,palace
mecset,mosque
szökőkút,fountain
vár,castle
templom,temple
ad,give
menjen kirándulni,go hiking
hajvágás,haircut
van,have
fejhallgató,headphones
helikopter,helicopter
Segítség,help
becsületes,honest
szörnyű,horrible
ember,human
beront,invade
feltalál,invent
találmány,invention
utazás,journey
fajta,kind
király,king
ólom,lead
néz,look
veszít,lose
mérkőzés,match
találkozik,meet
hold,moon
motorkerékpár,motorbike
zaj,noise
értesítés,notice
tárgy,object
ejtőernyő,parachute
buli,party
periódus,period
játék,play
szegény,poor
népszerű,popular
piramis,pyramid
királynő,queen
gyorsan,quickly
megnyugtató,relaxing
gazdag,rich
szabály,rule
áldozat,sacrifice
ijesztő,scary
lát,see
beteg,sick
rabszolga,slave
rabszolgaság,slavery
marad,stay
furcsa,strange
meglepetés,surprise
fényképeket készíteni,take photos
távcső,telescope
a Tejút,the Milky Way
apró,tiny
kereskedő,trader
szállítás,transport
utazás,travel
utazás,trip
népszerűtlen,unpopular
Viking,Viking
VIP,VIP
látogatás,visit
háború,war
óra,watch
esküvő,wedding
nedves,wet
